State,General,State_Suicide,Suicide,Elder_Abuse,Medicare_Support,Transportation_Assistance
Minnesota,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Mississippi,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Missouri,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Montana,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Nebraska,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Nevada,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
New Hampshire,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
New Jersey,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
New Mexico,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
New York,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
North Carolina,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
North Dakota,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Ohio,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Oklahoma,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Oregon,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Pennsylvania,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Rhode Island,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
South Carolina,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
South Dakota,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Tennessee,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Texas,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Utah,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Vermont,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Virginia,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Washington,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
West Virginia,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Wisconsin,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
Wyoming,911,1-800-273-8255,988,1-800-677-1116,1-800-MEDICARE (633-4227),Contact local AAA via 1-800-677-1116
