item_id,field_id,item_value,item_type
4.5.B.3,4.5.B,Frequency (Daily / Weekly),string
4.6.A.1,4.6.A,Resume Review,string
4.6.A.2,4.6.A,Mock Interview,string
4.6.A.3,4.6.A,Job Search Help,string
4.6.A.4,4.6.A,Referral Guidance,string
4.6.A.5,4.6.A,LinkedIn Optimization,string
4.6.A.6,4.6.A,Career Mentorship,string
4.6.B.1,4.6.B,Resume (PDF / DOCX),string
4.6.B.2,4.6.B,Cover Letter (PDF / DOCX),string
4.6.B.3,4.6.B,LinkedIn Profile Screenshot (Image),string
4.7.A.1,4.7.A,Textbooks,string
4.7.A.2,4.7.A,Notes / PDFs,string
4.7.A.3,4.7.A,Stationery / Equipment,string
4.7.A.4,4.7.A,Other,string
4.7.B.1,4.7.B,PDF,string
4.7.B.2,4.7.B,Image (JPG / PNG),string
